company,data_point,scope,report_field,page,source
Reliance,Share Premium,Standalone,Securities Premium,99,pipeline
Reliance,Share Premium,Consolidated,Securities Premium,141,pipeline
Reliance,Hedging Reserve,Standalone,Other Equity - Cash flow Hedge,100,page-verified
Reliance,Hedging Reserve,Consolidated,Cash Flow Hedge,141,pipeline
Reliance,Non Current Investments_Unquoted Debentures/Bonds,Standalone,In Debentures of Other Company,104,pipeline
Reliance,Non Current Investments_Unquoted Debentures/Bonds,Consolidated,"In Debentures or Bonds - Unquoted, Fully Paid Up",147,pipeline
Reliance,Non Current Investments_Joint Venture/Partnerships,Standalone,In Preference Shares of Joint Venture Companies / In Debentures of Joint Venture Companies,100,pipeline
Reliance,Non Current Investments_Joint Venture/Partnerships,Consolidated,Total of Investments in Joint Ventures,147,pipeline
Reliance,Gross Carrying Value_Furnitures & Fixtures,Standalone,Furniture & Fixtures,103,pipeline
Reliance,Gross Carrying Value_Furnitures & Fixtures,Consolidated,Furniture & Fixtures,146,pipeline
Reliance,Gross Carrying Value_Office Equipments,Standalone,Equipments $,103,pipeline
Reliance,Gross Carrying Value_Office Equipments,Consolidated,Equipments $,146,pipeline
Reliance,Accumulated Depreciation_Furnitures & Fixtures,Standalone,Furniture & Fixtures,103,pipeline
Reliance,Accumulated Depreciation_Furnitures & Fixtures,Consolidated,Furniture & Fixtures,146,pipeline
Reliance,Accumulated Depreciation_Office Equipments,Standalone,Equipments $,103,pipeline
Reliance,Accumulated Depreciation_Office Equipments,Consolidated,Equipments $,146,pipeline
Reliance,Other CWIP,Standalone,,,Not disclosed
Reliance,Other CWIP,Consolidated,,,Not disclosed
Reliance,Gross Investment Property,Standalone,,,Not disclosed
Reliance,Gross Investment Property,Consolidated,,,Not disclosed
Reliance,Loss On Disposal Of Fixed Asset,Standalone,"Loss on Sale/Discard of Property, Plant and Equipment and Intangible Assets (Net)",103,page-verified
Reliance,Loss On Disposal Of Fixed Asset,Consolidated,,,Not disclosed
Reliance,Fixed Assets Written Off,Standalone,Deductions / Adjustments,103,pipeline
Reliance,Fixed Assets Written Off,Consolidated,,,Not disclosed
Reliance,Sundry Creditors,Standalone,Total,113,pipeline
Reliance,Sundry Creditors,Consolidated,Total,153,pipeline
Reliance,Noncurrent Borrowings_Unsecured Loans_Loans and advances from others,Standalone,,,Not disclosed
Reliance,Noncurrent Borrowings_Unsecured Loans_Loans and advances from others,Consolidated,Term Loans - from Others,152,pipeline
Reliance,"Noncurrent Borrowings_Secured Loans_Deferred payment for acquisition of property, plant and equipment",Standalone,,,Not disclosed
Reliance,"Noncurrent Borrowings_Secured Loans_Deferred payment for acquisition of property, plant and equipment",Consolidated,,,Not disclosed
Reliance,Current Borrowings_Unsecured Loans_Subordinated debts,Standalone,,,Not disclosed
Reliance,Current Borrowings_Unsecured Loans_Subordinated debts,Consolidated,,,Not disclosed
Reliance,Other Noncurrent Liabilities_Other Long Term Liabilities,Standalone,,,Not disclosed
Reliance,Other Noncurrent Liabilities_Other Long Term Liabilities,Consolidated,Other Non-Current Liabilities,139,pipeline
Reliance,Other Noncurrent Liabilities_Total Long Term Liabilities,Standalone,Total,97,pipeline
Reliance,Other Noncurrent Liabilities_Total Long Term Liabilities,Consolidated,Total Non-Current Liabilities,139,pipeline
Reliance,Other Current Liabilities_Revenue received in advance,Standalone,Contract Liabilities*,114,pipeline
Reliance,Other Current Liabilities_Revenue received in advance,Consolidated,Contract Liabilities *,154,pipeline
Reliance,Other Current Liabilities_Accrued Salary Payable,Standalone,,,Not disclosed
Reliance,Other Current Liabilities_Accrued Salary Payable,Consolidated,,,Not disclosed
Reliance,Other Current Liabilities_Employees Stock Options Outstanding,Standalone,,,Not disclosed
Reliance,Other Current Liabilities_Employees Stock Options Outstanding,Consolidated,,,Not disclosed
Reliance,Short Term Loans And Advances_Other Deposit Assets,Standalone,Other Deposits,110,pipeline
Reliance,Short Term Loans And Advances_Other Deposit Assets,Consolidated,,,Not disclosed
Reliance,Short Term Loans And Advances_Advances to related parties,Standalone,,,Not disclosed
Reliance,Short Term Loans And Advances_Advances to related parties,Consolidated,,,Not disclosed
Reliance,Short Term Loans And Advances_Allowance for bad and doubtful loans,Standalone,,,Not disclosed
Reliance,Short Term Loans And Advances_Allowance for bad and doubtful loans,Consolidated,,,Not disclosed
Reliance,Other Current Assets_Advances to related parties,Standalone,,,Not disclosed
Reliance,Other Current Assets_Advances to related parties,Consolidated,,,Not disclosed
Reliance,Other Current Assets_Advances given suppliers,Standalone,,,Not disclosed
Reliance,Other Current Assets_Advances given suppliers,Consolidated,Others **,150,pipeline
Reliance,Other Current Assets_Export incentives receivables,Standalone,,,Not disclosed
Reliance,Other Current Assets_Export incentives receivables,Consolidated,,,Not disclosed
Reliance,Other Current Assets_Less : Doubtful Advances,Standalone,,,Not disclosed
Reliance,Other Current Assets_Less : Doubtful Advances,Consolidated,,,Not disclosed
Reliance,Authorised Equity Share Capital,Standalone,"Authorised Share Capital: 49,00,00,00,000 Equity Shares of H 10 each",110,pipeline
Reliance,Authorised Equity Share Capital,Consolidated,"49,00,00,00,000 Equity Shares of H 10 each",150,pipeline
Reliance,Equity Issued,Standalone,Issued and Subscribed Capital,110,pipeline
