company,key,scope,expected_value
hindalco,Share Premium,standalone,8235
hindalco,Share Premium,consolidated,8235
hindalco,Hedging Reserve,standalone,325
hindalco,Hedging Reserve,consolidated,583
hindalco,Total Power & Fuel Expenses,standalone,8798
hindalco,Total Power & Fuel Expenses,consolidated,14396
hindalco,Gross Carrying Value_Furnitures & Fixtures,standalone,231
hindalco,Gross Carrying Value_Furnitures & Fixtures,consolidated,1839
hindalco,Gross Carrying Value_Office Equipments,standalone,403
hindalco,Gross Carrying Value_Office Equipments,consolidated,1467
hindalco,Accumulated Depreciation_Office Equipments,standalone,235
hindalco,Accumulated Depreciation_Office Equipments,consolidated,913
hindalco,Sundry Creditors,standalone,10553
hindalco,Sundry Creditors,consolidated,40632
hindalco,Consumption Of Stores And Spare Parts,standalone,882
hindalco,Consumption Of Stores And Spare Parts,consolidated,4827
hindalco,Authorised Equity Share Capital,standalone,250
hindalco,Authorised Equity Share Capital,consolidated,250
hindalco,Face Value of Share (in Rs),standalone,1
hindalco,Face Value of Share (in Rs),consolidated,1
hindalco,No Of Paid up Equity Shares,standalone,2247226523
hindalco,No Of Paid up Equity Shares,consolidated,2247226523
hindalco,CSR Expenditure,standalone,64
hindalco,CSR Expenditure,consolidated,64.33
hindalco,Equity attributable to the equity holders of the parent,consolidated,123709
