company,scope,key,original_value,corrected_value,status,evidence
adani,standalone,Share Premium,"37,685.70","37,685.70",verified_ok,
adani,consolidated,Share Premium,"37,685.70","37,685.70",verified_ok,
adani,standalone,Hedging Reserve,Not disclosed,Not disclosed,verified_ok,
adani,consolidated,Hedging Reserve,100.20,100.20,verified_ok,
adani,standalone,Non Current Investments_Unquoted Debentures/Bonds,"5,292.63","5,292.63",verified_ok,
adani,consolidated,Non Current Investments_Unquoted Debentures/Bonds,"5,292.63","5,292.63",verified_ok,
adani,standalone,Non Current Investments_Joint Venture/Partnerships,Not disclosed,Not disclosed,verified_ok,
adani,consolidated,Non Current Investments_Joint Venture/Partnerships,"6,705.74","6,705.74",verified_ok,
adani,standalone,Gross Carrying Value_Furnitures & Fixtures,60.62,60.62,verified_ok,
adani,consolidated,Gross Carrying Value_Furnitures & Fixtures,"1,180.71","1,180.71",verified_ok,
adani,standalone,Gross Carrying Value_Office Equipments,59.84,59.84,verified_ok,
adani,consolidated,Gross Carrying Value_Office Equipments,"1,064.61","1,064.61",verified_ok,
adani,standalone,Accumulated Depreciation_Furnitures & Fixtures,25.26,25.26,verified_ok,
adani,consolidated,Accumulated Depreciation_Furnitures & Fixtures,231.19,231.19,verified_ok,
adani,standalone,Accumulated Depreciation_Office Equipments,38.49,38.49,verified_ok,
adani,consolidated,Accumulated Depreciation_Office Equipments,331.70,331.70,verified_ok,
adani,standalone,Other CWIP,Not disclosed,Not disclosed,verified_ok,
adani,consolidated,Other CWIP,Not disclosed,Not disclosed,verified_ok,
adani,standalone,Gross Investment Property,19.35,19.35,verified_ok,
adani,consolidated,Gross Investment Property,311.33,311.33,verified_ok,
adani,standalone,Loss On Disposal Of Fixed Asset,Not disclosed,(9.63),CORRECTED,p231 'Loss/(Profit) on Sale/Disposal of PP&E (9.63)'
adani,consolidated,Loss On Disposal Of Fixed Asset,1.66,1.66,verified_ok,
adani,standalone,Fixed Assets Written Off,Not disclosed,Not disclosed,verified_ok,
adani,consolidated,Fixed Assets Written Off,Not disclosed,Not disclosed,verified_ok,
adani,standalone,Sundry Creditors,"4,474.96","4,474.96",verified_ok,
adani,consolidated,Sundry Creditors,"20,289.87","20,289.87",verified_ok,
adani,standalone,Noncurrent Borrowings_Unsecured Loans_Loans and advances from others,Not disclosed,Not disclosed,verified_ok,
adani,consolidated,Noncurrent Borrowings_Unsecured Loans_Loans and advances from others,Not disclosed,"9,726.16",CORRECTED,"p316 note23 Non-Current Borrowings UNSECURED 'Inter Corporate Loans 9,726.16'"
adani,standalone,"Noncurrent Borrowings_Secured Loans_Deferred payment for acquisition of property, plant and equipment",Not disclosed,Not disclosed,verified_ok,
adani,consolidated,"Noncurrent Borrowings_Secured Loans_Deferred payment for acquisition of property, plant and equipment",Not disclosed,Not disclosed,verified_ok,
adani,standalone,Current Borrowings_Unsecured Loans_Subordinated debts,Not disclosed,Not disclosed,verified_ok,
adani,consolidated,Current Borrowings_Unsecured Loans_Subordinated debts,Not disclosed,Not disclosed,verified_ok,
adani,standalone,Other Noncurrent Liabilities_Other Long Term Liabilities,Not disclosed,Not disclosed,verified_ok,
