company,key,scope,expected_value
infosys,Share Premium,standalone,"1,054"
infosys,Share Premium,consolidated,"1,091"
infosys,Hedging Reserve,standalone,(18)
infosys,Hedging Reserve,consolidated,(19)
infosys,Non Current Investments_Unquoted Debentures/Bonds,standalone,Not disclosed
infosys,Non Current Investments_Unquoted Debentures/Bonds,consolidated,Not disclosed
infosys,Non Current Investments_Joint Venture/Partnerships,standalone,Not disclosed
infosys,Non Current Investments_Joint Venture/Partnerships,consolidated,Not disclosed
infosys,Gross Carrying Value_Furnitures & Fixtures,standalone,"2,200"
infosys,Gross Carrying Value_Furnitures & Fixtures,consolidated,"2,438"
infosys,Gross Carrying Value_Office Equipments,standalone,"1,497"
infosys,Gross Carrying Value_Office Equipments,consolidated,"1,732"
infosys,Accumulated Depreciation_Furnitures & Fixtures,standalone,"(1,838)"
infosys,Accumulated Depreciation_Furnitures & Fixtures,consolidated,"(1,995)"
infosys,Accumulated Depreciation_Office Equipments,standalone,"(1,249)"
infosys,Accumulated Depreciation_Office Equipments,consolidated,"(1,417)"
infosys,Other CWIP,standalone,Not disclosed
infosys,Other CWIP,consolidated,Not disclosed
infosys,Gross Investment Property,standalone,Not disclosed
infosys,Gross Investment Property,consolidated,Not disclosed
infosys,Loss On Disposal Of Fixed Asset,standalone,Not disclosed
infosys,Loss On Disposal Of Fixed Asset,consolidated,Not disclosed
infosys,Fixed Assets Written Off,standalone,Not disclosed
infosys,Fixed Assets Written Off,consolidated,Not disclosed
infosys,Sundry Creditors,standalone,"3,539"
infosys,Sundry Creditors,consolidated,"4,744"
infosys,Noncurrent Borrowings_Unsecured Loans_Loans and advances from others,standalone,Not disclosed
infosys,Noncurrent Borrowings_Unsecured Loans_Loans and advances from others,consolidated,Not disclosed
infosys,"Noncurrent Borrowings_Secured Loans_Deferred payment for acquisition of property, plant and equipment",standalone,Not disclosed
infosys,"Noncurrent Borrowings_Secured Loans_Deferred payment for acquisition of property, plant and equipment",consolidated,Not disclosed
infosys,Current Borrowings_Unsecured Loans_Subordinated debts,standalone,Not disclosed
infosys,Current Borrowings_Unsecured Loans_Subordinated debts,consolidated,Not disclosed
infosys,Other Noncurrent Liabilities_Other Long Term Liabilities,standalone,Not disclosed
infosys,Other Noncurrent Liabilities_Other Long Term Liabilities,consolidated,Not disclosed
infosys,Other Noncurrent Liabilities_Total Long Term Liabilities,standalone,Not disclosed
infosys,Other Noncurrent Liabilities_Total Long Term Liabilities,consolidated,Not disclosed
infosys,Other Current Liabilities_Revenue received in advance,standalone,Not disclosed
infosys,Other Current Liabilities_Revenue received in advance,consolidated,Not disclosed
infosys,Other Current Liabilities_Accrued Salary Payable,standalone,Not disclosed
infosys,Other Current Liabilities_Accrued Salary Payable,consolidated,Not disclosed
infosys,Other Current Liabilities_Employees Stock Options Outstanding,standalone,Not disclosed
infosys,Other Current Liabilities_Employees Stock Options Outstanding,consolidated,Not disclosed
infosys,Short Term Loans And Advances_Other Deposit Assets,standalone,10
infosys,Short Term Loans And Advances_Other Deposit Assets,consolidated,75
infosys,Short Term Loans And Advances_Advances to related parties,standalone,Not disclosed
infosys,Short Term Loans And Advances_Advances to related parties,consolidated,Not disclosed
infosys,Short Term Loans And Advances_Allowance for bad and doubtful loans,standalone,Not disclosed
infosys,Short Term Loans And Advances_Allowance for bad and doubtful loans,consolidated,Not disclosed
infosys,Other Current Assets_Advances to related parties,standalone,Not disclosed
infosys,Other Current Assets_Advances to related parties,consolidated,Not disclosed
infosys,Other Current Assets_Advances given suppliers,standalone,Not disclosed
infosys,Other Current Assets_Advances given suppliers,consolidated,Not disclosed
infosys,Other Current Assets_Export incentives receivables,standalone,Not disclosed
infosys,Other Current Assets_Export incentives receivables,consolidated,Not disclosed
infosys,Other Current Assets_Less : Doubtful Advances,standalone,Not disclosed
infosys,Other Current Assets_Less : Doubtful Advances,consolidated,Not disclosed
infosys,Authorised Equity Share Capital,standalone,"2,400"
infosys,Authorised Equity Share Capital,consolidated,"2,400"
infosys,Equity Issued,standalone,"2,027"
infosys,Equity Issued,consolidated,"2,024"
infosys,Equity Subscribed fully paid,standalone,"2,027"
infosys,Equity Subscribed fully paid,consolidated,"2,024"
infosys,Equity Forfeited,standalone,"₹1,500/-"
infosys,Equity Forfeited,consolidated,"₹1,500"
infosys,Equity Paid Up,standalone,"2,027"
infosys,Equity Paid Up,consolidated,"2,024"
infosys,Face Value of Share (in Rs),standalone,5
infosys,Face Value of Share (in Rs),consolidated,5
infosys,No Of Authorised Equity Shares,standalone,"4,80,00,00,000"
infosys,No Of Authorised Equity Shares,consolidated,"480,00,00,000"
infosys,No Of Issued Equity Shares,standalone,"4,05,55,91,723"
infosys,No Of Issued Equity Shares,consolidated,"404,69,40,812"
infosys,No Of Subscribed Equity Shares Fully Paid,standalone,Not disclosed
infosys,No Of Subscribed Equity Shares Fully Paid,consolidated,Not disclosed
infosys,No Of Paid up Equity Shares,standalone,"4,05,55,91,723"
infosys,No Of Paid up Equity Shares,consolidated,Not disclosed
infosys,Number of shares outstanding at beginning of period,standalone,Not disclosed
infosys,Number of shares outstanding at beginning of period,consolidated,"414,36,07,528"
infosys,No Of Shares Increase Towards Stock Split,standalone,Not disclosed
infosys,No Of Shares Increase Towards Stock Split,consolidated,Not disclosed
infosys,No Of Shares bought back or treasury shares,standalone,"10,00,00,000"
infosys,No Of Shares bought back or treasury shares,consolidated,"86,50,911"
infosys,Equity attributable to the equity holders of the parent,consolidated,Not disclosed
infosys,Share Depreciation Joint ventures,consolidated,Not disclosed
infosys,Total Power & Fuel Expenses,both,Not disclosed
infosys,Consumption Of Stores And Spare Parts,both,Not disclosed
