company,key,scope,verified_value,report_field,page
reliance,Hedging Reserve,standalone,"(16,123)",Other Equity - Cash flow Hedge,100
reliance,Loss On Disposal Of Fixed Asset,standalone,38,"Loss on Sale/Discard of Property, Plant and Equipment and Intangible Assets (Net)",103
hindalco,Authorised Equity Share Capital,consolidated,250,Authorised Equity Shares,292
hindalco,Authorised Equity Share Capital,standalone,250,Note 10 - Authorised Equity Shares of Re 1 each,369
hindalco,Equity Paid Up,standalone,222,Standalone BS - Equity Share Capital (Note 10),343
hindalco,Impairment loss on financial assets loans and advances,consolidated,36,Note 23 - Impairment loss/(reversal) on financial assets (net),316
hindalco,Impairment loss on financial assets loans and advances,standalone,34,Reconciliation of Provision - Impairment losses recognised on receivables,402
hindalco,Loss On Disposal Of Fixed Asset,consolidated,(486),Consolidated Cash Flow - (Gain)/Loss on PPE & intangibles sold/discarded (net),260
hindalco,No Of Shares bought back or treasury shares,standalone,"(26,783,115)",Note 10 - Less: Treasury Shares (b)(i)+(b)(ii),369
hindalco,No Of Subscribed Equity Shares Fully Paid,consolidated,"2,247,772,772",Subscribed and Paid-up Equity Shares,292
hindalco,No Of Subscribed Equity Shares Fully Paid,standalone,"2,247,772,772",Note 10 - Subscribed and Paid-up Equity Shares of Re 1 each,369
hindalco,Non Current Investments_Joint Venture/Partnerships,standalone,165,Note 5B - Investment in Associates and Joint Ventures,343
hindalco,Non Current Investments_Unquoted Debentures/Bonds,consolidated,17,6% Convertible Promissory Note from NYPIT Inc (Everest Labs),278
hindalco,Other Noncurrent Liabilities_Other Long Term Liabilities,standalone,967,Standalone BS - Other Non-Current Liabilities (Note 16),343
hindalco,Payments To Auditor,consolidated,92,Note 24 Other expenses - Payments to Auditors,316
reddy,Accumulated Depreciation_Furnitures & Fixtures,consolidated,"6,190","Note 2.1 PP&E - Furniture, fixtures & office equipment (combined) - Accum dep closing",189
reddy,Accumulated Depreciation_Furnitures & Fixtures,standalone,"4,747","Note 2.1 PP&E - Furniture, fixtures & office equipment (combined) - Accum dep closing",137
reddy,Equity Subscribed fully paid,consolidated,834,Subscribed and fully paid-up,196
reddy,Equity Subscribed fully paid,standalone,834,Note 2.9 - Subscribed and fully paid-up (Rs),143
reddy,Hedging Reserve,consolidated,108,SOCIE - Cash flow hedge reserve (closing),178
reddy,Interest Expense Borrowings,consolidated,"2,151",Finance costs - Interest on other borrowings,176
reddy,Interest Expense Borrowings,standalone,966,Finance costs - Interest on other borrowings,148
reddy,Loss On Disposal Of Fixed Asset,standalone,428,"Other expenses - Loss/(Profit) on sale/disposal of assets, net",169
reddy,No Of Shares Increase Towards Stock Split,standalone,"667,507,784",Note 2.9 - Increase in outstanding shares on account of stock split,143
reddy,No Of Subscribed Equity Shares Fully Paid,consolidated,"834,455,365",Subscribed and fully paid-up,196
reddy,No Of Subscribed Equity Shares Fully Paid,standalone,"834,455,365",Note 2.9 - Subscribed and fully paid-up (no. of shares),143
reddy,Non Current Investments_Joint Venture/Partnerships,consolidated,"4,811",Total Investment in equity accounted investees,193
reddy,Non Current Investments_Joint Venture/Partnerships,standalone,397,Investment in partnership firms (ABCD Technologies LLP),140
reddy,Non Current Investments_Unquoted Debentures/Bonds,standalone,"13,069",Investment in Non-convertible debentures of Dr. Reddy's Laboratories Inc.,141
reddy,Number of shares outstanding at beginning of period,standalone,"166,818,266",Note 2.9 - Opening number of equity shares,143
reddy,Other Noncurrent Liabilities_Other Long Term Liabilities,standalone,"1,852",Standalone BS - Other non-current liabilities (Note 2.12A),126
reddy,Other Noncurrent Liabilities_Total Long Term Liabilities,standalone,"7,825",Standalone BS - Total non-current liabilities,126
reddy,Payments To Auditor,consolidated,45,Other expenses - Auditors' remuneration,203
reddy,Payments To Auditor,standalone,41,Other expenses - Auditors' remuneration,149
reddy,Share Premium,consolidated,"8,553",SOCIE - Securities premium (closing),178
itc,CSR Expenditure,standalone,443.68,Note 27 Other expenses - Corporate Social Responsibility (P&L line; note 29(ii) 'incurred' = 461.50),200
itc,Equity Subscribed fully paid,consolidated,1251.41,"Issued and Subscribed Ordinary Shares of Re 1.00 each, fully paid",304
itc,Equity Subscribed fully paid,standalone,1251.41,"Issued and Subscribed Ordinary Shares of Re 1.00 each, fully paid",191
itc,No Of Subscribed Equity Shares Fully Paid,consolidated,"12,51,41,19,781",Issued and Subscribed Ordinary Shares (no. of shares),289
itc,No Of Subscribed Equity Shares Fully Paid,standalone,"12,51,41,19,781",Issued and Subscribed Ordinary Shares (no. of shares),191
itc,Non Current Investments_Joint Venture/Partnerships,consolidated,146.42,Investment in JV (ITC Filtrona Limited etc.),256
itc,Number of shares outstanding at beginning of period,consolidated,"12,48,47,21,471",As at beginning of the year,289
itc,Number of shares outstanding at beginning of period,standalone,"12,48,47,21,471",As at beginning of the year (share reconciliation),191
itc,Other Current Liabilities_Employees Stock Options Outstanding,consolidated,507.59,Consolidated SOCIE - Share Options Outstanding Account (closing),254
itc,Other Current Liabilities_Revenue received in advance,consolidated,1264.18,Note 20 - Advances received from customers (* includes revenue received in advance),292
itc,Payments To Auditor,standalone,7.43,Note 27 - Auditors' remuneration and expenses (Audit 3.80 + Tax audit 0.78 + ...),200
itc,Sundry Creditors,consolidated,4807.30,Note 21 Trade Payables (Current) - total outstanding dues,252
infosys,Accumulated Depreciation_Furnitures & Fixtures,consolidated,"(1,995)",Note 2.2 PP&E - Furniture and fixtures - Accumulated depreciation,302
infosys,Accumulated Depreciation_Furnitures & Fixtures,standalone,"(1,838)",Note 2.2 PP&E - Furniture and fixtures - Accumulated depreciation,221
infosys,Accumulated Depreciation_Office Equipments,consolidated,"(1,417)","Note 2.2 PP&E - Office equipment - Accumulated depreciation as at Mar 31, 2026",302
infosys,Accumulated Depreciation_Office Equipments,standalone,"(1,249)",Note 2.2 PP&E - Office equipment - Accumulated depreciation,221
infosys,Authorised Equity Share Capital,consolidated,"2,400",Authorized share capital,243
infosys,Authorised Equity Share Capital,standalone,"2,400",Note 2.12.1 - Authorized Equity shares (Rs crore),243
infosys,CSR Expenditure,standalone,577,Note 2.20 - Contributions towards Corporate Social Responsibility,257
infosys,Face Value of Share (in Rs),standalone,5,"Equity shares, Rs 5 par value",243
infosys,Gross Carrying Value_Furnitures & Fixtures,consolidated,"2,438",Note 2.2 PP&E - Furniture and fixtures - Gross carrying value,302
infosys,Gross Carrying Value_Furnitures & Fixtures,standalone,"2,200",Note 2.2 PP&E - Furniture and fixtures - Gross carrying value,221
infosys,Gross Carrying Value_Office Equipments,consolidated,"1,732","Note 2.2 PP&E - Office equipment - Gross carrying value as at Mar 31, 2026",302
infosys,Gross Carrying Value_Office Equipments,standalone,"1,497",Note 2.2 PP&E - Office equipment - Gross carrying value,221
infosys,Hedging Reserve,consolidated,(19),SOCIE - Effective portion of cash flow hedges (closing),292
adani,Accumulated Depreciation_Furnitures & Fixtures,consolidated,231.19,Note 3 PP&E - Furniture & Fixture - Closing Accumulated Depreciation,304
adani,Accumulated Depreciation_Office Equipments,consolidated,331.70,Note 3 PP&E - Office Equipment - Closing Accumulated Depreciation,304
adani,Bad Debts Advances Written Off,consolidated,206.68,"Note 41 - Bad debts, Exploration costs, Loans and Advances Written off",327
adani,Equity Subscribed fully paid,consolidated,129.27,Note 20(e) - Issued equity share capital,315
adani,Equity Subscribed fully paid,standalone,129.27,Note 20(e) - Issued equity share capital (Rs crore),315
adani,Face Value of Share (in Rs),consolidated,1,Equity shares of Rs 1 each,315
adani,Face Value of Share (in Rs),standalone,1,Equity shares of Rs 1 each,315
adani,Gross Carrying Value_Furnitures & Fixtures,consolidated,"1,180.71",Note 3 PP&E - Furniture & Fixture - Closing Gross Carrying Value,304
adani,Gross Carrying Value_Office Equipments,consolidated,"1,064.61",Note 3 PP&E - Office Equipment - Closing Gross Carrying Value,304
adani,No Of Subscribed Equity Shares Fully Paid,consolidated,"1,29,26,82,416",Note 20 - Subscribed and Paid-up,315
adani,No Of Subscribed Equity Shares Fully Paid,standalone,"1,29,26,82,416",Note 20 - Subscribed and Paid-up (no. of shares),315
adani,Non Current Investments_Joint Venture/Partnerships,consolidated,"6,705.74",Consolidated BS - Investments accounted using Equity Method,283
adani,Other Current Assets_Advances given suppliers,standalone,411.18,Note 20 - Advances to suppliers (Considered good),249
adani,Other Current Assets_Less : Doubtful Advances,consolidated,(4.84),Allowance for doubtful advances,346
adani,Other Current Assets_Less : Doubtful Advances,standalone,(2.43),Note 20 - Allowance for doubtful advances,249
adani,Other Noncurrent Liabilities_Other Long Term Liabilities,consolidated,"8,836.51",Consolidated BS - Other non-current liabilities (Note 27),283
adani,Provision Bad Doubtful Loans Advances,consolidated,74.77,Note 41 - Allowances for Credit Loss / Doubtful advances,327
adani,Short Term Loans And Advances_Other Deposit Assets,consolidated,307.44,Note 18 - Security and Other deposits,313
adani,Total Power & Fuel Expenses,standalone,40.93,Electric Power Expenses,255
adani,Consumption Of Stores And Spare Parts,standalone,42.35,Stores & Spares Consumed,255
adani,Donations Subscriptions,standalone,5.26,Donation,255
adani,Donations Subscriptions,consolidated,10.96,Donation,327
adani,Legal & Professional Charges,standalone,307.61,Legal & Professional Fees,255
adani,Payments To Auditor,standalone,1.70,Payment to Auditors (1.17+0.53),255
adani,Bad Debts Advances Written Off,standalone,62.59,"Bad debts, Loans & Advances Written off",255
adani,CSR Expenditure,standalone,60.18,Corporate Social Responsibility Expenses,255
adani,Share Premium,standalone,"37,685.70",Securities Premium (closing),251
adani,Equity Paid Up,standalone,129.24,Equity Share Capital,230
adani,Deferred Tax Assets (Net)_Deferred tax liabilities_Accumulated Depreciation,standalone,308.32,"PP&E, RoU & Intangibles (DTL)",247
adani,Deferred Tax Liability (Net)_Deferred Tax Assets_Leave Encashment,standalone,33.23,Employee Benefits Liability (DTA),247
adani,Gross Carrying Value_Furnitures & Fixtures,standalone,60.62,PP&E Note 3 — Furniture & Fixture gross closing (FY2026),240
adani,Accumulated Depreciation_Furnitures & Fixtures,standalone,25.26,PP&E Note 3 — Furniture & Fixture accum dep closing (FY2026),240
adani,Non Current Investments_Unquoted Debentures/Bonds,standalone,"5,292.63",Note 7 — Investment in Debentures of JCEs,245
adani,Share Premium,consolidated,"37,685.70","Note 22 — Securities Premium closing (our pipeline WRONG: got 13,907.80)",315
adani,No Of Issued Equity Shares,consolidated,"1,29,26,82,416",= subscribed shares (fully subscribed),315
adani,Other Noncurrent Liabilities_Total Long Term Liabilities,consolidated,"8,836.51",Consol BS — Other Non-Current Liabilities (Note 27),283
adani,Short Term Loans And Advances_Allowance for bad and doubtful loans,standalone,(2.43),Note 7 Loans — Allowance for Credit Losses / doubtful,249
adani,Short Term Loans And Advances_Allowance for bad and doubtful loans,consolidated,(4.84),Consol Loans note — doubtful allowance,346
adani,Number of shares outstanding at beginning of period,consolidated,"1,15,41,80,729",= prior-year share count (115.42cr @ Re1),315
adani,Provision Bad Doubtful Loans Advances,standalone,6.46,Note 41 — Allowances for Credit Loss / Doubtful advances,255
adani,Deferred Tax Liability (Net)_Deferred Tax Assets_Leave Encashment,consolidated,94.32,Consol deferred tax — Employee Benefits Liability,310
reliance,Gross Carrying Value_Furnitures & Fixtures,consolidated,"17,369",Consol PP&E (Note 1) — F&F gross closing,146
reliance,Gross Carrying Value_Office Equipments,consolidated,"71,504",Consol PP&E — Office Equipments gross,146
reliance,Accumulated Depreciation_Furnitures & Fixtures,consolidated,"6,717",Consol PP&E — F&F accum dep,146
reliance,Accumulated Depreciation_Office Equipments,consolidated,"22,187",Consol PP&E — Office Equip accum dep,146
reliance,Equity Subscribed fully paid,standalone,"13,532","Share capital note — paid-up ₹13,532 cr",110
reliance,Equity Subscribed fully paid,consolidated,"13,532","Share capital note — paid-up ₹13,532 cr",150
reliance,No Of Subscribed Equity Shares Fully Paid,standalone,"13,53,24,72,634","Share capital — 13,53,24,72,634 shares",110
reliance,No Of Subscribed Equity Shares Fully Paid,consolidated,"13,53,24,72,634","Share capital — 13,53,24,72,634 shares",150
hindalco,Gross Carrying Value_Office Equipments,consolidated,"1,467",Consol PP&E p268 — Office Equipment cost closing,268
hindalco,Equity Paid Up,consolidated,222,BS Equity Share Capital net of treasury (=std 222),369
reliance,Interest Expense Borrowings,standalone,"5,187",Finance Costs note p116,116
reliance,Interest Expense Borrowings,consolidated,"22,050",Finance Costs note p157,157
