company,scope,key,original_value,corrected_value,status,evidence
hindalco,standalone,Share Premium,"8,235","8,235",verified_ok,
hindalco,consolidated,Share Premium,"8,235","8,235",verified_ok,
hindalco,standalone,Hedging Reserve,325,325,verified_ok,
hindalco,consolidated,Hedging Reserve,583,583,verified_ok,
hindalco,standalone,Non Current Investments_Unquoted Debentures/Bonds,Not disclosed,Not disclosed,verified_ok,
hindalco,consolidated,Non Current Investments_Unquoted Debentures/Bonds,17,17,verified_ok,
hindalco,standalone,Non Current Investments_Joint Venture/Partnerships,165,165,verified_ok,
hindalco,consolidated,Non Current Investments_Joint Venture/Partnerships,7,7,verified_ok,
hindalco,standalone,Gross Carrying Value_Furnitures & Fixtures,231,231,verified_ok,
hindalco,consolidated,Gross Carrying Value_Furnitures & Fixtures,"1,839","1,839",verified_ok,
hindalco,standalone,Gross Carrying Value_Office Equipments,403,403,verified_ok,
hindalco,consolidated,Gross Carrying Value_Office Equipments,"1,467","1,467",verified_ok,
hindalco,standalone,Accumulated Depreciation_Furnitures & Fixtures,133,133,verified_ok,
hindalco,consolidated,Accumulated Depreciation_Furnitures & Fixtures,"1,201","1,201",verified_ok,
hindalco,standalone,Accumulated Depreciation_Office Equipments,235,235,verified_ok,
hindalco,consolidated,Accumulated Depreciation_Office Equipments,913,913,verified_ok,
hindalco,standalone,Other CWIP,Not disclosed,Not disclosed,verified_ok,
hindalco,consolidated,Other CWIP,Not disclosed,Not disclosed,verified_ok,
hindalco,standalone,Gross Investment Property,39,39,verified_ok,
hindalco,consolidated,Gross Investment Property,62,62,verified_ok,
hindalco,standalone,Loss On Disposal Of Fixed Asset,Not disclosed,Not disclosed,verified_ok,
hindalco,consolidated,Loss On Disposal Of Fixed Asset,(486),(486),verified_ok,
hindalco,standalone,Fixed Assets Written Off,Not disclosed,Not disclosed,verified_ok,
hindalco,consolidated,Fixed Assets Written Off,Not disclosed,Not disclosed,verified_ok,
hindalco,standalone,Sundry Creditors,"10,553","10,553",verified_ok,
hindalco,consolidated,Sundry Creditors,"40,632","40,632",verified_ok,
hindalco,standalone,Noncurrent Borrowings_Unsecured Loans_Loans and advances from others,Not disclosed,Not disclosed,verified_ok,
hindalco,consolidated,Noncurrent Borrowings_Unsecured Loans_Loans and advances from others,Not disclosed,Not disclosed,verified_ok,
hindalco,standalone,"Noncurrent Borrowings_Secured Loans_Deferred payment for acquisition of property, plant and equipment",Not disclosed,Not disclosed,verified_ok,
hindalco,consolidated,"Noncurrent Borrowings_Secured Loans_Deferred payment for acquisition of property, plant and equipment",Not disclosed,Not disclosed,verified_ok,
hindalco,standalone,Current Borrowings_Unsecured Loans_Subordinated debts,Not disclosed,Not disclosed,verified_ok,
hindalco,consolidated,Current Borrowings_Unsecured Loans_Subordinated debts,Not disclosed,Not disclosed,verified_ok,
hindalco,standalone,Other Noncurrent Liabilities_Other Long Term Liabilities,967,967,verified_ok,
hindalco,consolidated,Other Noncurrent Liabilities_Other Long Term Liabilities,40,40,verified_ok,
hindalco,standalone,Other Noncurrent Liabilities_Total Long Term Liabilities,967,967,verified_ok,
hindalco,consolidated,Other Noncurrent Liabilities_Total Long Term Liabilities,"1,685","1,685",verified_ok,
hindalco,standalone,Other Current Liabilities_Revenue received in advance,263,263,verified_ok,
hindalco,consolidated,Other Current Liabilities_Revenue received in advance,358,358,verified_ok,
hindalco,standalone,Other Current Liabilities_Accrued Salary Payable,Not disclosed,Not disclosed,verified_ok,
hindalco,consolidated,Other Current Liabilities_Accrued Salary Payable,Not disclosed,Not disclosed,verified_ok,
hindalco,standalone,Other Current Liabilities_Employees Stock Options Outstanding,Not disclosed,Not disclosed,verified_ok,
hindalco,consolidated,Other Current Liabilities_Employees Stock Options Outstanding,Not disclosed,Not disclosed,verified_ok,
hindalco,standalone,Short Term Loans And Advances_Other Deposit Assets,130,130,verified_ok,
hindalco,consolidated,Short Term Loans And Advances_Other Deposit Assets,131,131,verified_ok,
hindalco,standalone,Short Term Loans And Advances_Advances to related parties,81,81,verified_ok,
hindalco,consolidated,Short Term Loans And Advances_Advances to related parties,-,-,verified_ok,
hindalco,standalone,Short Term Loans And Advances_Allowance for bad and doubtful loans,Not disclosed,Not disclosed,verified_ok,
hindalco,consolidated,Short Term Loans And Advances_Allowance for bad and doubtful loans,Not disclosed,Not disclosed,verified_ok,
hindalco,standalone,Other Current Assets_Advances to related parties,Not disclosed,Not disclosed,verified_ok,
hindalco,consolidated,Other Current Assets_Advances to related parties,Not disclosed,Not disclosed,verified_ok,
hindalco,standalone,Other Current Assets_Advances given suppliers,890,890,verified_ok,
