company,scope,key,original_value,corrected_value,status,evidence
infosys,standalone,Share Premium,"1,054","1,054",verified_ok,
infosys,consolidated,Share Premium,"1,091","1,091",verified_ok,
infosys,standalone,Hedging Reserve,(18),(18),verified_ok,
infosys,consolidated,Hedging Reserve,(19),(19),verified_ok,
infosys,standalone,Non Current Investments_Unquoted Debentures/Bonds,Not disclosed,Not disclosed,verified_ok,
infosys,consolidated,Non Current Investments_Unquoted Debentures/Bonds,Not disclosed,Not disclosed,verified_ok,
infosys,standalone,Non Current Investments_Joint Venture/Partnerships,Not disclosed,Not disclosed,verified_ok,
infosys,consolidated,Non Current Investments_Joint Venture/Partnerships,Not disclosed,Not disclosed,verified_ok,
infosys,standalone,Gross Carrying Value_Furnitures & Fixtures,"2,200","2,200",verified_ok,
infosys,consolidated,Gross Carrying Value_Furnitures & Fixtures,"2,438","2,438",verified_ok,
infosys,standalone,Gross Carrying Value_Office Equipments,"1,497","1,497",verified_ok,
infosys,consolidated,Gross Carrying Value_Office Equipments,"1,732","1,732",verified_ok,
infosys,standalone,Accumulated Depreciation_Furnitures & Fixtures,"(1,838)","(1,838)",verified_ok,
infosys,consolidated,Accumulated Depreciation_Furnitures & Fixtures,"(1,995)","(1,995)",verified_ok,
infosys,standalone,Accumulated Depreciation_Office Equipments,"(1,249)","(1,249)",verified_ok,
infosys,consolidated,Accumulated Depreciation_Office Equipments,"(1,417)","(1,417)",verified_ok,
infosys,standalone,Other CWIP,Not disclosed,Not disclosed,verified_ok,
infosys,consolidated,Other CWIP,Not disclosed,Not disclosed,verified_ok,
infosys,standalone,Gross Investment Property,Not disclosed,Not disclosed,verified_ok,
infosys,consolidated,Gross Investment Property,Not disclosed,Not disclosed,verified_ok,
infosys,standalone,Loss On Disposal Of Fixed Asset,Not disclosed,Not disclosed,verified_ok,
infosys,consolidated,Loss On Disposal Of Fixed Asset,Not disclosed,Not disclosed,verified_ok,
infosys,standalone,Fixed Assets Written Off,Not disclosed,Not disclosed,verified_ok,
infosys,consolidated,Fixed Assets Written Off,Not disclosed,Not disclosed,verified_ok,
infosys,standalone,Sundry Creditors,"3,539","3,539",verified_ok,
infosys,consolidated,Sundry Creditors,"4,744","4,744",verified_ok,
infosys,standalone,Noncurrent Borrowings_Unsecured Loans_Loans and advances from others,Not disclosed,Not disclosed,verified_ok,
infosys,consolidated,Noncurrent Borrowings_Unsecured Loans_Loans and advances from others,Not disclosed,Not disclosed,verified_ok,
infosys,standalone,"Noncurrent Borrowings_Secured Loans_Deferred payment for acquisition of property, plant and equipment",Not disclosed,Not disclosed,verified_ok,
infosys,consolidated,"Noncurrent Borrowings_Secured Loans_Deferred payment for acquisition of property, plant and equipment",Not disclosed,Not disclosed,verified_ok,
infosys,standalone,Current Borrowings_Unsecured Loans_Subordinated debts,Not disclosed,Not disclosed,verified_ok,
infosys,consolidated,Current Borrowings_Unsecured Loans_Subordinated debts,Not disclosed,Not disclosed,verified_ok,
infosys,standalone,Other Noncurrent Liabilities_Other Long Term Liabilities,Not disclosed,Not disclosed,verified_ok,
