company,scope,key,original_value,corrected_value,status,evidence
itc,standalone,Share Premium,15834.70,15834.70,verified_ok,
itc,consolidated,Share Premium,15834.70,15834.70,verified_ok,
itc,standalone,Hedging Reserve,(4.54),(4.54),verified_ok,
itc,consolidated,Hedging Reserve,(13.89),(13.89),verified_ok,
itc,standalone,Non Current Investments_Unquoted Debentures/Bonds,Not disclosed,Not disclosed,verified_ok,
itc,consolidated,Non Current Investments_Unquoted Debentures/Bonds,Not disclosed,Not disclosed,verified_ok,
itc,standalone,Non Current Investments_Joint Venture/Partnerships,Not disclosed,Not disclosed,verified_ok,
itc,consolidated,Non Current Investments_Joint Venture/Partnerships,146.42,146.42,verified_ok,
itc,standalone,Gross Carrying Value_Furnitures & Fixtures,261.74,261.74,verified_ok,
itc,consolidated,Gross Carrying Value_Furnitures & Fixtures,282.36,282.36,verified_ok,
itc,standalone,Gross Carrying Value_Office Equipments,43.21,43.21,verified_ok,
itc,consolidated,Gross Carrying Value_Office Equipments,62.88,62.88,verified_ok,
itc,standalone,Accumulated Depreciation_Furnitures & Fixtures,161.61,161.61,verified_ok,
itc,consolidated,Accumulated Depreciation_Furnitures & Fixtures,169.33,169.33,verified_ok,
itc,standalone,Accumulated Depreciation_Office Equipments,24.77,24.77,verified_ok,
itc,consolidated,Accumulated Depreciation_Office Equipments,36.33,36.33,verified_ok,
itc,standalone,Other CWIP,Not disclosed,Not disclosed,verified_ok,
itc,consolidated,Other CWIP,Not disclosed,Not disclosed,verified_ok,
itc,standalone,Gross Investment Property,505.45,505.45,verified_ok,
itc,consolidated,Gross Investment Property,408.54,408.54,verified_ok,
itc,standalone,Loss On Disposal Of Fixed Asset,(108.26),(108.26),verified_ok,
itc,consolidated,Loss On Disposal Of Fixed Asset,(138.76),(138.76),verified_ok,
itc,standalone,Fixed Assets Written Off,Not disclosed,Not disclosed,verified_ok,
itc,consolidated,Fixed Assets Written Off,Not disclosed,Not disclosed,verified_ok,
itc,standalone,Sundry Creditors,4489.82,4489.82,verified_ok,
itc,consolidated,Sundry Creditors,4807.30,4807.30,verified_ok,
itc,standalone,Noncurrent Borrowings_Unsecured Loans_Loans and advances from others,Not disclosed,Not disclosed,verified_ok,
itc,consolidated,Noncurrent Borrowings_Unsecured Loans_Loans and advances from others,Not disclosed,Not disclosed,verified_ok,
itc,standalone,"Noncurrent Borrowings_Secured Loans_Deferred payment for acquisition of property, plant and equipment",Not disclosed,Not disclosed,verified_ok,
itc,consolidated,"Noncurrent Borrowings_Secured Loans_Deferred payment for acquisition of property, plant and equipment",Not disclosed,Not disclosed,verified_ok,
itc,standalone,Current Borrowings_Unsecured Loans_Subordinated debts,Not disclosed,Not disclosed,verified_ok,
itc,consolidated,Current Borrowings_Unsecured Loans_Subordinated debts,Not disclosed,Not disclosed,verified_ok,
itc,standalone,Other Noncurrent Liabilities_Other Long Term Liabilities,Not disclosed,Not disclosed,verified_ok,
itc,consolidated,Other Noncurrent Liabilities_Other Long Term Liabilities,34.51,34.51,verified_ok,
itc,standalone,Other Noncurrent Liabilities_Total Long Term Liabilities,Not disclosed,Not disclosed,verified_ok,
itc,consolidated,Other Noncurrent Liabilities_Total Long Term Liabilities,34.51,34.51,verified_ok,
itc,standalone,Other Current Liabilities_Revenue received in advance,Not disclosed,1357.07,CORRECTED,p196 'Advances received from customers 1357.07'
itc,consolidated,Other Current Liabilities_Revenue received in advance,1264.18,1264.18,verified_ok,
itc,standalone,Other Current Liabilities_Accrued Salary Payable,Not disclosed,Not disclosed,verified_ok,
itc,consolidated,Other Current Liabilities_Accrued Salary Payable,Not disclosed,Not disclosed,verified_ok,
itc,standalone,Other Current Liabilities_Employees Stock Options Outstanding,Not disclosed,Not disclosed,verified_ok,
itc,consolidated,Other Current Liabilities_Employees Stock Options Outstanding,507.59,507.59,verified_ok,
itc,standalone,Short Term Loans And Advances_Other Deposit Assets,6.26,6.26,verified_ok,
itc,consolidated,Short Term Loans And Advances_Other Deposit Assets,6.26,6.26,verified_ok,
itc,standalone,Short Term Loans And Advances_Advances to related parties,-,-,verified_ok,
itc,consolidated,Short Term Loans And Advances_Advances to related parties,-,-,verified_ok,
itc,standalone,Short Term Loans And Advances_Allowance for bad and doubtful loans,Not disclosed,Not disclosed,verified_ok,
itc,consolidated,Short Term Loans And Advances_Allowance for bad and doubtful loans,Not disclosed,Not disclosed,verified_ok,
itc,standalone,Other Current Assets_Advances to related parties,-,-,verified_ok,
itc,consolidated,Other Current Assets_Advances to related parties,-,-,verified_ok,
itc,standalone,Other Current Assets_Advances given suppliers,Not disclosed,Not disclosed,verified_ok,
itc,consolidated,Other Current Assets_Advances given suppliers,Not disclosed,Not disclosed,verified_ok,
itc,standalone,Other Current Assets_Export incentives receivables,Not disclosed,Not disclosed,verified_ok,
itc,consolidated,Other Current Assets_Export incentives receivables,Not disclosed,Not disclosed,verified_ok,
itc,standalone,Other Current Assets_Less : Doubtful Advances,Not disclosed,Not disclosed,verified_ok,
itc,consolidated,Other Current Assets_Less : Doubtful Advances,Not disclosed,Not disclosed,verified_ok,
itc,standalone,Authorised Equity Share Capital,2000.00,2000.00,verified_ok,
itc,consolidated,Authorised Equity Share Capital,2000.00,2000.00,verified_ok,
itc,standalone,Equity Issued,1251.41,1251.41,verified_ok,
itc,consolidated,Equity Issued,1251.41,1251.41,verified_ok,
itc,standalone,Equity Subscribed fully paid,1251.41,1251.41,verified_ok,
itc,consolidated,Equity Subscribed fully paid,1251.41,1251.41,verified_ok,
itc,standalone,Equity Forfeited,Not disclosed,Not disclosed,verified_ok,
itc,consolidated,Equity Forfeited,Not disclosed,Not disclosed,verified_ok,
itc,standalone,Equity Paid Up,1251.41,1251.41,verified_ok,
itc,consolidated,Equity Paid Up,1251.41,1251.41,verified_ok,
itc,standalone,Face Value of Share (in Rs),1.00,1.00,verified_ok,
itc,consolidated,Face Value of Share (in Rs),1.00,1.00,verified_ok,
itc,standalone,No Of Authorised Equity Shares,"20,00,00,00,000","20,00,00,00,000",verified_ok,
itc,consolidated,No Of Authorised Equity Shares,"20,00,00,00,000","20,00,00,00,000",verified_ok,
itc,standalone,No Of Issued Equity Shares,"12,51,41,19,781","12,51,41,19,781",verified_ok,
itc,consolidated,No Of Issued Equity Shares,"12,51,41,19,781","12,51,41,19,781",verified_ok,
itc,standalone,No Of Subscribed Equity Shares Fully Paid,"12,51,41,19,781","12,51,41,19,781",verified_ok,
itc,consolidated,No Of Subscribed Equity Shares Fully Paid,"12,51,41,19,781","12,51,41,19,781",verified_ok,
itc,standalone,No Of Paid up Equity Shares,"12,51,41,19,781","12,51,41,19,781",verified_ok,
itc,consolidated,No Of Paid up Equity Shares,"12,51,41,19,781","12,51,41,19,781",verified_ok,
itc,standalone,Number of shares outstanding at beginning of period,"12,48,47,21,471","12,48,47,21,471",verified_ok,
itc,consolidated,Number of shares outstanding at beginning of period,"12,48,47,21,471","12,48,47,21,471",verified_ok,
itc,standalone,No Of Shares Increase Towards Stock Split,Not disclosed,Not disclosed,verified_ok,
itc,consolidated,No Of Shares Increase Towards Stock Split,Not disclosed,Not disclosed,verified_ok,
itc,standalone,No Of Shares bought back or treasury shares,Not disclosed,Not disclosed,verified_ok,
itc,consolidated,No Of Shares bought back or treasury shares,Not disclosed,Not disclosed,verified_ok,
itc,consolidated,Equity attributable to the equity holders of the parent,70030.05,70030.05,verified_ok,
itc,consolidated,Share Depreciation Joint ventures,Not disclosed,Not disclosed,verified_ok,
