company,scope,key,original_value,corrected_value,status,evidence
reliance,standalone,Share Premium,"93,118","93,118",verified_ok,
reliance,consolidated,Share Premium,"93,118","93,118",verified_ok,
reliance,standalone,Hedging Reserve,"(16,123)","(26,895)",CORRECTED,"p99 standalone SOCIE Cash Flow Hedge closing = opening (14,090) + (12,805) = (26,895); prior GT (16,123) was an OCI-movement/garble figure, inconsistent with consolidated which correctly uses SOCIE closing (26,919)"
reliance,consolidated,Hedging Reserve,Not disclosed,"(26,919)",CORRECTED,"p141 cons SOCE 'Cash Flow Hedge ... (26,919)'"
reliance,standalone,Non Current Investments_Unquoted Debentures/Bonds,Not disclosed,"1,105",CORRECTED,"p127-128: unquoted debentures (excl subsidiaries) = JV-cos [BAM DLR Mumbai 40 + BAM DLR Network 2 + DXDC 63 = 105; Sintex Twenty Devind 900] + Other-co Mahan Energen 100 = 1,105. Prior GT 205 missed Sintex Twenty Devind 900"
reliance,consolidated,Non Current Investments_Unquoted Debentures/Bonds,Not disclosed,"15,162",CORRECTED,"p147(pr.212-213): ALL 'In Debentures or Bonds - Unquoted' lines = Amortised Cost 100 + FVTOCI 201 + FVTPL 13,828 + Associates 4 + JV 1,029 = 15,162. Prior GT 100 captured only the amortised-cost line (instrument-first convention: debentures datapoint = all unquoted debentures across bases/relationships)"
reliance,standalone,Non Current Investments_Joint Venture/Partnerships,Not disclosed,"4,798",CORRECTED,"p127-128: all JV holdings at cost excl debentures = JV equity [quoted Alok 269 + unquoted 979] + JV preference [Alok NCRPS 3,300 + Alok OCPS 250] = 4,798. Prior GT 3,300 captured only NCRPS preference, missing JV equity (1,248) and OCPS (250)"
reliance,consolidated,Non Current Investments_Joint Venture/Partnerships,"9,648","8,619",CORRECTED,"p147(pr.213): JV equity 4,741 + JV preference 3,878 = 8,619 (instrument-first: JV debentures 1,029 belong to the debentures datapoint, not here). Prior 9,648 was the printed JV total which double-counts the 1,029 debentures"
reliance,standalone,Gross Carrying Value_Furnitures & Fixtures,"1,939","1,939",verified_ok,
reliance,consolidated,Gross Carrying Value_Furnitures & Fixtures,"17,369","17,369",verified_ok,
reliance,standalone,Gross Carrying Value_Office Equipments,"28,349","28,349",verified_ok,
reliance,consolidated,Gross Carrying Value_Office Equipments,"71,504","71,504",verified_ok,
reliance,standalone,Accumulated Depreciation_Furnitures & Fixtures,800,800,verified_ok,
reliance,consolidated,Accumulated Depreciation_Furnitures & Fixtures,"6,717","6,717",verified_ok,
reliance,standalone,Accumulated Depreciation_Office Equipments,"12,550","12,550",verified_ok,
reliance,consolidated,Accumulated Depreciation_Office Equipments,"22,187","22,187",verified_ok,
reliance,standalone,Other CWIP,Not disclosed,Not disclosed,verified_ok,
reliance,consolidated,Other CWIP,Not disclosed,Not disclosed,verified_ok,
reliance,standalone,Gross Investment Property,Not disclosed,Not disclosed,verified_ok,
reliance,consolidated,Gross Investment Property,Not disclosed,Not disclosed,verified_ok,
reliance,standalone,Loss On Disposal Of Fixed Asset,38,44,CORRECTED,p117 'Loss on Sale/Discard of PP&E and Intangibles 44 (prior 64)'
reliance,consolidated,Loss On Disposal Of Fixed Asset,Not disclosed,116,CORRECTED,p157 'Loss on Sale/Discard of PP&E and Other Intangibles 116'
reliance,standalone,Fixed Assets Written Off,Not disclosed,Not disclosed,verified_ok,
reliance,consolidated,Fixed Assets Written Off,Not disclosed,Not disclosed,verified_ok,
reliance,standalone,Sundry Creditors,"1,47,415","1,47,415",verified_ok,
reliance,consolidated,Sundry Creditors,"1,58,842","1,58,842",verified_ok,
reliance,standalone,Noncurrent Borrowings_Unsecured Loans_Loans and advances from others,Not disclosed,Not disclosed,verified_ok,
reliance,consolidated,Noncurrent Borrowings_Unsecured Loans_Loans and advances from others,Not disclosed,"1,487",CORRECTED,"p222 Borrowings-Non-Current Unsecured 'Term Loans - from Others' non-current = 1,487; matches definition 'unsecured loans from non-bank parties' (judgment: term-loans-from-others = only unsecured-loans-from-others line disclosed)"
reliance,standalone,"Noncurrent Borrowings_Secured Loans_Deferred payment for acquisition of property, plant and equipment",Not disclosed,Not disclosed,verified_ok,
reliance,consolidated,"Noncurrent Borrowings_Secured Loans_Deferred payment for acquisition of property, plant and equipment",Not disclosed,Not disclosed,verified_ok,
reliance,standalone,Current Borrowings_Unsecured Loans_Subordinated debts,Not disclosed,Not disclosed,verified_ok,
reliance,consolidated,Current Borrowings_Unsecured Loans_Subordinated debts,Not disclosed,Not disclosed,verified_ok,
reliance,standalone,Other Noncurrent Liabilities_Other Long Term Liabilities,Not disclosed,"4,040",CORRECTED,"p97 BS 'Other Non-Current Liabilities' = 4,040 (note 19); definition = the BS total line so it IS disclosed. Prior 'Not disclosed' contradicted both the definition and the cons cell (6,932)"
reliance,consolidated,Other Noncurrent Liabilities_Other Long Term Liabilities,"6,932","6,932",verified_ok,
reliance,standalone,Other Noncurrent Liabilities_Total Long Term Liabilities,"4,040","4,040",verified_ok,
reliance,consolidated,Other Noncurrent Liabilities_Total Long Term Liabilities,"6,932","6,932",verified_ok,
reliance,standalone,Other Current Liabilities_Revenue received in advance,"89,099","89,099",verified_ok,
reliance,consolidated,Other Current Liabilities_Revenue received in advance,"1,72,201","1,72,201",verified_ok,
reliance,standalone,Other Current Liabilities_Accrued Salary Payable,Not disclosed,Not disclosed,verified_ok,
reliance,consolidated,Other Current Liabilities_Accrued Salary Payable,Not disclosed,Not disclosed,verified_ok,
reliance,standalone,Other Current Liabilities_Employees Stock Options Outstanding,Not disclosed,Not disclosed,verified_ok,
reliance,consolidated,Other Current Liabilities_Employees Stock Options Outstanding,Not disclosed,Not disclosed,verified_ok,
reliance,standalone,Short Term Loans And Advances_Other Deposit Assets,"2,403","2,403",verified_ok,
reliance,consolidated,Short Term Loans And Advances_Other Deposit Assets,Not disclosed,Not disclosed,verified_ok,
reliance,standalone,Short Term Loans And Advances_Advances to related parties,Not disclosed,Not disclosed,verified_ok,
reliance,consolidated,Short Term Loans And Advances_Advances to related parties,Not disclosed,Not disclosed,verified_ok,
reliance,standalone,Short Term Loans And Advances_Allowance for bad and doubtful loans,Not disclosed,Not disclosed,verified_ok,
reliance,consolidated,Short Term Loans And Advances_Allowance for bad and doubtful loans,Not disclosed,Not disclosed,verified_ok,
reliance,standalone,Other Current Assets_Advances to related parties,Not disclosed,Not disclosed,verified_ok,
reliance,consolidated,Other Current Assets_Advances to related parties,Not disclosed,Not disclosed,verified_ok,
reliance,standalone,Other Current Assets_Advances given suppliers,Not disclosed,Not disclosed,verified_ok,
